# 15c82f46-0f3e-4de2-80fb-1b3c18e4ba8e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.0121137; 27.2121248; 1.7060252; -0.0337447; 15.4855481; 0.3673165
1.9901160; 1.0314959; 27.0100835; 1.6385817; -0.0346548; 15.5326818; 0.3077856
3.9802319; -0.9623359; 26.9448984; 1.5682568; -0.0353394; 15.5720668; 0.2335846
5.9703479; -2.9512449; 27.0200378; 1.4978527; -0.0352296; 15.6018904; 0.2406601
7.9604639; -4.9370291; 27.2350095; 1.4287100; -0.0334521; 15.6325579; 0.5914762
9.9505798; -6.9122683; 27.5854365; 1.3617388; -0.0329299; 15.7076758; 1.4221422
11.9406958; -8.8604461; 28.0670253; 1.2948360; -0.0330047; 15.8868353; 2.0664074
13.9308118; -10.7445767; 28.6630844; 1.2374430; -0.0200990; 16.1436153; 2.1854959
15.9209278; -12.5803112; 29.3336298; 1.1957254; -0.0372362; 16.4108225; 1.6176918
17.9110437; -14.3818779; 30.0987222; 1.1453009; -0.0271406; 16.6058389; 1.3841158
19.9011597; -16.1862770; 30.9792121; 1.0878798; -0.0289502; 16.7708970; 1.2917778
21.8912757; -17.9247537; 31.9559040; 1.0298604; -0.0292834; 16.9234914; 1.3346281
23.8813916; -19.5955553; 33.0254978; 0.9734809; -0.0276654; 17.0797158; 1.4681067
25.8715076; -21.2071272; 34.1867124; 0.9198719; -0.0262461; 17.2499303; 1.6383513
27.8616236; -22.7592762; 35.4337078; 0.8682210; -0.0258352; 17.4379217; 1.8135242
29.8517395; -24.2508123; 36.7641143; 0.8167362; -0.0254705; 17.6436777; 2.0191038
31.8418555; -25.6694095; 38.1649640; 0.7669623; -0.0245259; 17.8699710; 2.2411695
33.8319715; -27.0093121; 39.6234362; 0.7195733; -0.0233021; 18.1178431; 2.3842326
35.8220874; -28.2900377; 41.1543328; 0.6741029; -0.0221518; 18.3778681; 2.5464440
37.8122034; -29.5016320; 42.7401282; 0.6311191; -0.0209991; 18.6515810; 2.7201101
39.8023194; -30.6392269; 44.3654064; 0.5906843; -0.0197455; 18.9395920; 2.8158080
41.7924353; -31.7190305; 46.0451473; 0.5523132; -0.0186569; 19.2331930; 2.9426742
43.7825513; -32.7315687; 47.7569569; 0.5163432; -0.0175645; 19.5353075; 3.0230965
45.7726673; -33.6845106; 49.5047372; 0.4823396; -0.0165691; 19.8408887; 3.0911212
47.7627833; -34.5809949; 51.2866724; 0.4501918; -0.0156998; 20.1485544; 3.1367507
49.7528992; -35.4186225; 53.0898397; 0.4198308; -0.0148652; 20.4560318; 3.1663205
51.7430152; -36.2041123; 54.9207962; 0.3909136; -0.0141699; 20.7617901; 3.1708216
53.7331312; -36.9369103; 56.7714462; 0.3633409; -0.0135571; 21.0635356; 3.1428146
55.7232471; -37.6200964; 58.6429973; 0.3368412; -0.0130569; 21.3584097; 3.1417414
57.7133631; -38.2528780; 60.5271658; 0.3113030; -0.0126580; 21.6491691; 3.0164510
59.7034791; -38.8401753; 62.4339314; 0.2863737; -0.0123466; 21.9247052; 2.9774533
61.6935950; -39.3787505; 64.3488322; 0.2620366; -0.0121512; 22.1933245; 2.8563411
63.6837110; -39.8711123; 66.2772869; 0.2379350; -0.0120797; 22.4479966; 2.6997944
65.6738270; -40.3178485; 68.2211403; 0.2138686; -0.0120573; 22.6860830; 2.6098341
67.6639429; -40.7155763; 70.1642365; 0.1899100; -0.0120972; 22.9138846; 2.3457661
69.6540589; -41.0688318; 72.1291944; 0.1658876; -0.0119693; 23.1167212; 2.1644662
71.6441749; -41.3738584; 74.0946141; 0.1419052; -0.0123677; 23.3023148; 1.9991169
73.6342909; -41.6297504; 76.0606953; 0.1167515; -0.0129847; 23.4724269; 1.6429591
75.6244068; -41.8354588; 78.0420590; 0.0898008; -0.0140370; 23.6113147; 1.4636836
77.6145228; -41.9856057; 80.0248325; 0.0611778; -0.0146146; 23.7343629; 1.3032818
79.6046388; -42.0781350; 82.0118788; 0.0317804; -0.0149425; 23.8433921; 1.0938725
81.5947547; -42.1115592; 84.0012002; 0.0017167; -0.0152543; 23.9345193; 0.8785348
83.5848707; -42.0846749; 85.9896391; -0.0288127; -0.0154292; 24.0074569; 0.6425648
85.5749867; -41.9966800; 87.9787212; -0.0596396; -0.0155339; 24.0606638; -0.0247060
87.5651026; -41.8474156; 89.9617220; -0.0906597; -0.0156508; 24.0586202; -0.3034904
89.5552186; -41.6365398; 91.9390174; -0.1218632; -0.0157351; 24.0335026; -0.5079532
91.5453346; -41.3633140; 93.9126733; -0.1532786; -0.0157847; 23.9914042; -0.8079745
93.5354505; -41.0290372; 95.8722256; -0.1846370; -0.0157597; 23.9242878; -1.2577135
95.5255665; -40.6333564; 97.8212714; -0.2159164; -0.0156794; 23.8194365; -1.6196774
97.5156825; -40.1758205; 99.7621118; -0.2470762; -0.0155737; 23.6837257; -2.7164841
99.5057984; -39.6603594; 101.6803079; -0.2779413; -0.0155050; 23.4543520; -3.2292876
101.4959144; -39.0849240; 103.5852632; -0.3087923; -0.0155609; 23.1787255; -3.7238459
103.4860304; -38.4495558; 105.4749033; -0.3399895; -0.0157338; 22.8567615; -3.6768854
105.4761464; -37.7580406; 107.3362544; -0.3715396; -0.0160543; 22.5343446; -3.6357291
107.4662623; -37.0050670; 109.1804378; -0.4038430; -0.0163760; 22.2109352; -3.6067453
109.4563783; -36.1932461; 110.9971568; -0.4367402; -0.0166844; 21.8853823; -3.5825260
111.4464943; -35.3224620; 112.7841432; -0.4702349; -0.0170280; 21.5571491; -3.5430764
113.4366102; -34.3879755; 114.5473841; -0.5045712; -0.0173680; 21.2275389; -3.5325028
115.4267262; -33.3989822; 116.2676922; -0.5388883; -0.0172212; 20.8937366; -3.4932094
117.4168422; -32.3467453; 117.9609519; -0.5732266; -0.0175033; 20.5583182; -3.4680542
119.4069581; -31.2374217; 119.6139750; -0.6093243; -0.0188197; 20.2198117; -3.4546180
121.3970741; -30.0642565; 121.2278683; -0.6481865; -0.0200352; 19.8768862; -3.4196052
123.3871901; -28.8325260; 122.7872370; -0.6894114; -0.0215640; 19.5315074; -3.4409662
125.3773060; -27.5256414; 124.3037261; -0.7334703; -0.0225063; 19.1776938; -3.4087524
127.3674220; -26.1603500; 125.7507485; -0.7797047; -0.0238537; 18.8206353; -3.4108968
129.3575380; -24.7255407; 127.1335435; -0.8284934; -0.0253224; 18.4564394; -3.4040262
131.3476540; -23.2123501; 128.4509062; -0.8807551; -0.0264270; 18.0856667; -3.3610319
133.3377699; -21.6540313; 129.6690976; -0.9343339; -0.0279144; 17.7119636; -3.2854566
135.3278859; -20.0232424; 130.8038574; -0.9924217; -0.0310113; 17.3388804; -3.0972051
137.3180019; -18.3078994; 131.8457293; -1.0588075; -0.0349940; 16.9796696; -2.9278788
139.3081178; -16.5474746; 132.7552678; -1.1279418; -0.0317053; 16.6329655; -2.5900090
141.2982338; -14.7369688; 133.5523911; -1.1834408; -0.0282611; 16.3201319; -1.9943110
143.2883498; -12.8766492; 134.2485669; -1.2440928; -0.0345964; 16.0751014; -1.3549110
145.2784657; -10.9713927; 134.8196891; -1.3145771; -0.0345655; 15.9064775; -1.1875909
147.2685817; -9.0140879; 135.2608148; -1.3836369; -0.0342702; 15.7571932; -0.7520354
149.2586977; -7.0738994; 135.5579608; -1.4489743; 0.0039645; 15.6619240; 0.4281402
